id,elect_div,area_sqkm,long,lat
38,Scullin,173.82,145.015424452311,-37.628762326849134
39,Wannon,34269.68,142.57277470856474,-37.89662973606699
40,Wills,47.14,144.95502015841524,-37.73740123993438
41,Banks,61.16,151.04337181157155,-33.96253552203199
42,Barton,41.86,151.11908238045442,-33.946216081344836
43,Bennelong,60.27,151.12765851089438,-33.808410457355734
44,Berowra,750.67,151.04833019831437,-33.57069902727501
45,Blaxland,59.4,151.00555977581632,-33.86104556558442
46,Bradfield,104.92,151.16174196237253,-33.74804853149541
47,Calare,32647.93,149.47710380511222,-33.08560978382745
48,Chifley,112.67,150.8322026691896,-33.72463560047171
49,Cook,67.17,151.13731532330974,-34.028109697291946
50,Cowper,7271.18,152.71816130013303,-30.761526675562077
51,Cunningham,535.54,150.86762352327298,-34.32669823564471
52,Dobell,675,151.37673742874148,-33.248099687205986
53,Eden-monaro,31913.08,149.36183985681035,-36.14571447207554
54,Farrer,126562.92,144.43825045502558,-34.34672389333144
55,Fowler,62.45,150.92049559268065,-33.89250954213361
56,Gilmore,6322.13,150.3144837622347,-35.236177713658556
57,Grayndler,34.21,151.14412840199034,-33.89877973098252
58,Greenway,89.62,150.90697194806094,-33.69360885201771
59,Hughes,379.92,151.00276919542256,-34.056982223936075
60,Hume,2673.89,150.47143700674488,-34.099970576851334
61,Hunter,7252.97,151.06758617496152,-32.75898332257224
62,Kingsford Smith,60.99,151.20729034189662,-33.95983734997086
63,Lindsay,325.19,150.71287031937376,-33.750789107064136
64,Lyne,16040.73,152.09844238811326,-31.959392160687408
65,Macarthur,306.87,150.8378098358465,-34.08610739306054
66,Mackellar,221.56,151.2518471277813,-33.673044775851274
67,Macquarie,4387.29,150.64257222222489,-33.4755264592799
68,Mcmahon,178.57,150.861408740105,-33.82479921528204
69,Mitchell,79.39,150.98160979497217,-33.73558844759597
70,New England,75236.55,151.19966369521288,-30.450269456917724
71,Newcastle,159.36,151.70800487802535,-32.89216528007142
72,Page,19335.11,152.85770858049926,-29.332693242594043
73,Parkes,406754.54,145.60618509909196,-31.080010919239825
74,Parramatta,65.58,151.01382840642472,-33.797982488340686
75,Paterson,947.81,151.77674210221912,-32.759583186002914
76,Reid,49.19,151.09296505474163,-33.85472674314036
77,Richmond,2133.19,153.411397035305,-28.478079054494845
78,Riverina,52410.21,148.21626188457137,-34.78667364263823
79,Robertson,938.68,151.2140910286148,-33.37580769661358
80,Shortland,204.13,151.6212116784577,-33.08561436329
81,Sydney,44.69,151.1909396366999,-33.878566639057475
